@relation x3

@attribute x numeric
@attribute y numeric
@attribute class {1,2}

@data
2.94,1.06,1
0.161,3.96,1
-0.105,5.16,1
1.61,2.22,1
0.744,3.17,1
1.9,1.03,1
1.02,2.6,1
2.47,3.13,1
2.21,2.75,1
-1.73,6,1
0.761,3.77,1
1.54,2.39,1
2.82,2.55,1
1.5,4.15,1
4.23,0.274,1
1.96,2.09,1
3.06,2.57,1
1.27,3.11,1
0.935,4.64,1
1.65,3.15,1
0.22,4.69,1
5.8,0.202,1
-0.0121,4.82,1
-0.0305,4.75,1
-0.394,5.53,1
3.61,3.03,1
3.96,0.791,1
2.63,3.27,1
0.481,4.39,1
3.08,1.04,1
0.652,4.74,1
1.99,3.45,1
3.93,1.87,1
0.887,4.53,1
1.76,2.5,1
4.96,0.699,1
0.674,4.6,1
4.38,1.6,1
3.12,2.2,1
1.78,3.92,1
1.72,3.28,1
1.26,3.01,1
1.62,2.3,1
2.35,2.81,1
1.94,1.14,1
1.28,3.79,1
2.52,2.73,1
1.95,1.68,1
2.48,2.5,1
2.69,2.96,1
1.88,3.37,1
1.53,3.11,1
1.46,2.62,1
2.33,3.78,1
1.18,3.23,1
3.02,2.22,1
4.18,-0.187,1
0.538,3.52,1
5.08,0.904,1
1.37,3.53,1
1.55,4.19,1
2.03,3.67,1
2.99,2.01,1
1.84,3.24,1
0.869,3.7,1
1.87,2.23,1
3.33,0.979,1
0.995,2.81,1
3.51,1.22,1
-0.441,5.64,1
4.04,1.94,1
2.2,2.11,1
0.936,4.89,1
3.63,1.18,1
3.14,2.27,1
1.47,2.72,1
2.41,1.13,1
-0.225,6.49,1
1.9,5.31,1
1.66,3.42,1
3.31,1.8,1
1.26,4.81,1
0.769,4.67,1
1.28,4.21,1
3.2,1.34,1
2.75,3.27,1
0.512,4.5,1
1.95,2,1
1.61,3.18,1
0.468,2.57,1
0.714,4.02,1
-0.437,6.02,1
1.15,1.93,1
2.16,4.14,1
2.07,3.08,1
1.96,3.18,1
3.25,2.16,1
3.07,2.58,1
2.19,3.09,1
0.61,3.31,1
1.98,3.32,1
0.735,4.7,1
2.15,5.19,1
2.58,1.43,1
2.54,2.99,1
1.28,3.78,1
1.15,3.69,1
2.59,3.54,1
3.09,-0.116,1
2.4,3.38,1
1.99,3.74,1
3.1,3.23,1
3.74,2.42,1
-0.34,4.03,1
2.97,1.4,1
1.14,4.27,1
2.03,3.88,1
0.103,4.92,1
-0.311,3.62,1
2.42,2.55,1
0.401,4.03,1
1.18,2.9,1
2.35,1.45,1
2.44,0.927,1
2.75,2.69,1
3.07,1.56,1
2.96,1.32,1
3.27,0.181,1
2.4,2.06,1
0.906,4,1
1.52,4.2,1
1.85,3.98,1
1.33,3.6,1
2.56,3.5,1
2.88,2.05,1
0.06,3.97,1
2.47,1.78,1
2.41,3.61,1
2.35,2.86,1
2.57,3.57,1
4.05,0.491,1
2.29,3.27,1
1.63,5.42,1
3.21,1.31,1
3.15,2.68,1
3.07,0.687,1
4.17,-0.105,1
3.57,0.803,1
2.55,3.38,1
3.16,2.11,1
0.69,3.95,1
0.864,2.5,1
0.725,4.52,1
2.78,2.02,1
2.09,3.32,1
2.28,2.99,1
4.94,-1.29,1
2.48,2.86,1
2.94,1.76,1
3.26,2.14,1
3.2,2.86,1
3.87,1.45,1
3.86,1.7,1
-0.0218,4.49,1
1.29,2.1,1
1.41,2.95,1
3.02,2.47,1
3.25,2.24,1
1.79,3.09,1
2.41,3.66,1
3.14,0.938,1
2.17,2.67,1
2.81,2.1,1
3.6,1.56,1
-0.0747,5.84,1
2.62,2.98,1
1.02,4.49,1
-1.16,6.46,1
2,1.63,1
0.262,4.57,1
2.31,1.9,1
1.36,4.7,1
1.35,3.55,1
3.13,2.86,1
2.2,1.47,1
-0.329,5.23,1
0.957,4.31,1
0.0425,4.96,1
2.89,2.61,1
0.567,3.85,1
2.62,1.15,1
1.01,2.88,1
3.42,3.33,1
3,1.56,1
2.32,2.55,1
0.793,4.26,1
2.16,1.91,1
1.03,3.54,1
2.93,1.2,1
1.15,3.27,1
3.39,3.38,1
4.02,2.16,1
2.46,2.69,1
-0.121,4.34,1
1.97,3.22,1
0.574,3.58,1
2.79,1.36,1
0.903,4.11,1
4.17,0.37,1
2.88,1.62,1
1.56,2.84,1
3.78,2.3,1
-0.977,5.08,1
2.78,1.05,1
1.71,2.87,1
2.7,1.7,1
2.11,2.47,1
0.000499,4.27,1
1.35,3.27,1
1.57,1.99,1
3.55,2.89,1
1.82,2.52,1
2.3,2.42,1
2.09,1.43,1
4.39,1.37,1
3.01,3.55,1
-0.92,4.7,1
2.25,3.25,1
1.22,3.88,1
0.265,4.23,1
1.57,4.15,1
1.25,2.84,1
0.738,4.25,1
0.945,5.2,1
2.81,2.62,1
1.79,3.44,1
3.9,-0.419,1
3.83,1.22,1
2,3.75,1
2.82,0.971,1
-0.127,5.19,1
0.712,2.65,1
1.49,3.07,1
0.358,3.37,1
2.41,1.05,1
3.86,2.08,1
1.61,3.29,1
0.716,3.14,1
2.53,3.34,1
3.81,1.44,1
2.87,3.97,1
5.21,0.119,1
5.17,0.333,1
1.01,4.27,1
1.93,4.04,1
2.93,0.939,1
-2.28,6.89,1
0.573,4.91,1
4.24,0.379,1
3.43,1.99,1
1.17,5,1
1.27,4.63,1
4.24,-0.564,1
6.17,0.814,1
3.49,1.16,1
1.64,2.13,1
0.207,3.67,1
2.83,3.9,1
3.91,1.06,1
-1.08,5.66,1
0.96,2.32,1
2.63,2.99,1
3.21,1.8,1
1.41,3.3,1
1.75,3.38,1
4.38,1.2,1
2.92,4.03,1
1.52,4,1
2.42,1.95,1
-1.58,3.85,1
1.51,2.87,1
1.42,2.26,1
2.32,2.92,1
0.982,4.46,1
-0.324,3.96,1
1.64,2.18,1
3.74,2.87,1
2.33,1.54,1
2.93,0.0853,1
1.24,6.32,1
2.62,1.53,1
3.25,1.76,1
3.46,1.52,1
3.9,2.34,1
2.3,2.5,1
2.36,2.55,1
1.89,3.68,1
0.874,3.22,1
1.99,2.39,1
-0.108,5.43,1
1.62,1.97,1
1.44,3.32,1
-1.3,4.49,1
-0.568,5.99,1
1.8,4.1,1
2.79,2.77,1
1.04,4.01,1
0.115,3.89,1
1.06,3.92,1
-0.538,3.85,1
2.28,4.02,1
2.52,2.21,1
1.93,3.12,1
4.77,0.723,1
3.33,1.87,1
0.867,4.17,1
3.49,0.398,1
0.457,4.07,1
2.66,1.69,1
1.08,4.26,1
0.112,5.4,1
3.22,1.48,1
2.93,3.35,1
2.44,3.37,1
2.18,2.87,1
1.9,2.24,1
0.943,3.82,1
3.4,1.37,1
4.09,0.639,1
2.91,1.16,1
0.773,3.58,1
2.31,4.34,1
2.16,2.53,1
2.72,1.4,1
1.86,3.49,1
1.58,3.19,1
2.25,3.15,1
4.37,2.8,1
2.99,1.05,1
2.51,2.11,1
0.523,4.77,1
2.68,2.29,1
1.47,2.68,1
-0.602,3.7,1
0.34,3.98,1
2.25,3,1
0.245,5,1
2.6,3.75,1
1.28,3.57,1
1.26,4.2,1
3.54,2.19,1
5.92,-0.272,1
2.61,0.845,1
1.23,2.02,1
1.85,2.01,1
1.05,3,1
1.78,3.98,1
4.19,1.61,1
1.21,3.79,1
0.909,3.07,1
0.0094,2.98,1
1.91,3.64,1
2.29,2.76,1
2.03,2.5,1
4.67,0.679,1
-0.000257,4.34,1
1.19,3.54,1
1.45,2.73,1
-0.458,4.58,1
-0.189,4.67,1
3.28,3.98,1
2.74,2.76,1
3.49,2.17,1
3.83,1.38,1
2.18,2.29,1
0.926,3.35,1
3.15,2.14,1
-0.593,6.63,1
2.93,0.949,1
1.47,3.6,1
0.917,3.78,1
2.48,3.49,1
0.0133,3.71,1
1.09,3.87,1
3.9,3.12,1
3.05,2.85,1
1.8,3.08,1
0.868,4.32,1
3.75,2.7,1
1.61,3.5,1
2.89,1.82,1
2.32,3.04,1
2.74,1.89,1
3.9,2.3,1
-1.36,4.76,1
1.54,1.66,1
4.22,1.42,1
2.91,1.31,1
2.28,4.22,1
3.03,2.85,1
2.85,2.27,1
0.432,6.07,1
0.0868,4.92,1
2.55,4.32,1
1.54,4.61,1
1.29,3.75,1
3.07,1.34,1
2.87,3.8,1
2.13,5.1,1
1.04,6.13,1
1.98,3.25,1
0.707,2.38,1
1.55,3.86,1
3.17,0.641,1
-0.719,4.8,1
2.06,5,1
1.56,3.51,1
3.34,1.48,1
0.422,2.91,1
3.66,2.08,1
4.33,0.753,1
3.43,3.6,1
2.85,2.33,1
-0.277,5.87,1
2.97,1.56,1
2.75,4.21,1
2.5,2.8,1
3.82,1.53,1
0.114,4.04,1
3.07,1.37,1
3.94,1.66,1
2.17,3.19,1
1.9,2.59,1
2.66,3.57,1
4.31,0.554,1
3.14,1.21,1
3.83,1.55,1
2.31,4.21,1
-0.94,5.45,1
0.463,2.91,1
2.9,1.94,1
1.43,3.53,1
1.38,3.02,1
3.24,1.32,1
1.63,3.71,1
0.865,3.9,1
2.89,2.42,1
5.65,-1.03,1
3.45,2.5,1
0.821,3.45,1
2.09,2.92,1
1.89,1.76,1
4.41,0.676,1
2.13,3.14,1
3.3,2.39,1
2.35,1.53,1
3.37,3.26,1
-0.0335,3.32,1
1.89,3.15,1
0.807,3.47,1
1.96,1.98,1
3.04,2.22,1
2.21,4.19,1
0.901,5.19,1
3.49,1.66,1
2.44,3.85,1
2.46,3.03,1
2.56,2.49,1
3.86,2.34,1
4.44,0.702,1
2.8,2.99,1
2.31,3.86,1
2.89,1.35,1
1.37,2.89,1
2.5,2.17,1
-0.975,4.82,1
4.05,1.08,1
5.82,-1.44,1
1.24,4.07,1
4.11,0.925,1
1.3,4.61,1
2.06,3.59,1
3.74,1.87,1
3.52,2.43,1
0.134,4.06,1
2.79,0.711,1
0.925,1.79,1
1.07,3.65,1
2.42,2.16,1
-2.35,7.79,1
1.42,4.67,1
0.0862,5.3,1
2.77,1.99,1
5.44,1.96,1
3.13,2.12,1
2.76,2.97,1
1.17,3.45,1
4.15,2.14,1
2.43,1.96,1
1.31,4.29,1
2.51,2.52,1
3.06,0.632,1
3.72,1.58,1
1.44,3.96,1
2.91,3.14,1
3.32,2.99,1
1.65,2.68,1
1.16,3.45,1
3.76,0.28,1
1.45,3.67,1
3.17,1.23,1
1.85,3.23,1
2.09,3.24,1
1.85,2.53,1
1.45,3.45,1
3.94,1.8,1
2.1,3.17,1
2.67,3.98,1
2.37,3.99,1
2.45,3.32,1
2.82,3.85,1
0.673,3.28,1
2.53,3.35,1
2.22,2.65,1
4.11,0.788,1
3.14,3.72,1
2.56,1.82,1
5.44,-0.465,1
2.4,3.38,1
3.74,1.56,1
2.91,0.767,1
2.08,2.29,1
-0.391,5.85,1
4.07,1.55,1
0.448,6.29,1
1.43,4.23,1
1.81,4.27,1
2.46,2.23,1
2.11,2.82,1
4,2,1
2.52,2.07,1
0.795,4.52,1
4.08,0.649,1
0.195,5.91,1
2.14,2.2,1
0.231,5.47,1
4.16,2.78,1
2.89,2.36,1
5.03,1.65,1
-0.476,4.97,1
5.49,-0.36,1
2.37,2.39,1
3.86,0.954,1
2.09,2.31,1
1.75,4.12,1
2.19,2.83,1
0.673,2.81,1
2.51,3,1
2.46,1.04,1
2.96,2.43,1
3.75,1.7,1
2.25,2.28,1
0.534,3.92,1
4.06,2.88,1
0.114,4.84,1
1.97,3.12,1
3.15,1.22,1
0.579,4.38,1
2.41,2.46,1
1.69,4.01,1
1.09,3.57,1
3.02,2.44,1
4.19,1.21,1
1.96,2.71,1
1.22,4.42,1
0.139,4.23,1
-1.68,6.6,1
2.85,3.12,1
0.552,4.1,1
2.12,1.41,1
-0.519,4.45,1
3.91,3.28,1
2.24,1.36,1
2.39,3.02,1
1.86,3.26,1
-0.599,3.8,1
3.16,1.87,1
-0.307,4.58,1
0.874,4.49,1
1.94,3.32,1
2.72,1.55,1
2.14,2.79,1
2.97,3.82,1
2.46,2.55,1
2.04,2.44,1
-0.448,5.36,1
1.37,3.83,1
2.07,2.53,1
2.35,3.33,1
2.22,2.94,1
0.577,5.25,1
3.7,-0.544,1
-0.95,5.69,1
0.782,2.93,1
5.74,-0.756,1
0.27,4.64,1
0.967,2.86,1
0.00144,4.1,1
2.73,1.15,1
1.88,3.09,1
1.51,4.23,1
2.91,4.75,1
0.234,4.55,1
3.12,1.62,1
2.75,3.82,1
3.13,2.84,1
1.68,3.51,1
1.26,3.46,1
1.86,3.96,1
2.61,2.49,1
1.46,3.22,1
0.352,4.96,1
3.65,0.814,1
4.41,0.656,1
2.24,3.11,1
1.65,3.15,1
0.347,4.3,1
2.87,3.88,1
2.12,4.27,1
1.46,2.33,1
0.976,3.34,1
2.88,1.16,1
1.83,2.2,1
-1.89,6.33,1
0.786,4.93,1
1.58,4.32,1
3.48,3.62,1
1.07,2.77,1
3.34,1.58,1
1.46,3.84,1
2.63,2.82,1
3.56,2.48,1
0.333,4.67,1
1.17,2.83,1
2.16,2.93,1
1.25,4.06,1
2.96,2.69,1
1.28,2.46,1
1.14,3.21,1
2.12,3.49,1
5.02,0.584,1
1.87,2.88,1
0.764,4.35,1
1.81,3.61,1
3.24,0.949,1
3.23,1.33,1
0.936,3.22,1
1.56,2.06,1
3.17,1.54,1
3.36,3.59,1
2.42,2.33,1
2.81,1.38,1
2.09,2.94,1
1.76,2.61,1
0.599,4.08,1
3.02,1.95,1
-0.0152,5,1
3.54,0.879,1
-2.02,7.06,1
2.11,1.33,1
1.13,4.69,1
1.19,3.43,1
2.01,2.96,1
1.29,2.59,1
3,2.81,1
3.23,4.08,1
2.16,2.9,1
3.37,1.9,1
3.99,2.9,1
3.25,2.97,1
2.57,2.71,1
1.02,3.79,1
0.436,5.87,1
1.77,2.57,1
0.599,4.88,1
2.63,3.25,1
3.52,1.7,1
4.19,1.39,1
3.14,0.627,1
2.25,2.39,1
0.965,2.02,1
-0.56,5,1
1.88,2.09,1
0.933,4.66,1
1.74,3.15,1
3.28,3.21,1
0.419,5.8,1
2.21,2.59,1
4.33,1.7,1
1.51,3.17,1
1.09,2.96,1
3.01,2.18,1
-1.98,6.06,1
2.82,2.99,1
1.76,2.7,1
2.52,2.12,1
2.82,0.686,1
2.74,3.77,1
3.04,2.64,1
0.85,3.46,1
3.85,1.11,1
-0.478,4.2,1
3.3,1.99,1
2.58,3.04,1
4.72,1.43,1
-1.27,6.79,1
3.97,1.04,1
1.11,4.58,1
1.31,3.21,1
3.98,1.65,1
4.66,0.193,1
1.21,5.08,1
1.09,2.52,1
0.931,3.99,1
2.54,2.72,1
1.15,2.84,1
3.68,3.68,1
5.2,2.39,1
1.62,3.73,1
1.83,3.13,1
1.39,3.32,1
3.39,2.28,1
0.0697,4.78,1
5.74,-0.04,1
2.67,0.7,1
0.865,3.52,1
2.27,3.54,1
-0.251,4.53,1
1,3.16,1
2.53,3.8,1
2.65,3.04,1
3.59,2.56,1
0.138,4.47,1
2.19,4.89,1
3.28,2.04,1
2.51,0.844,1
-1.3,5.32,1
3.82,2.02,1
1.75,3.17,1
4.74,1.92,1
1.5,3.12,1
2.12,3.27,1
0.27,2.06,1
1.24,5.48,1
1.14,4.9,1
3.69,2.28,1
1.83,3.11,1
0.582,3.25,1
2.89,3.03,1
4.93,0.152,1
2.83,3.63,1
5.03,-0.0577,1
-0.166,4.55,1
2.7,2.17,1
3.16,0.87,1
3.62,2.54,1
2.7,3.51,1
2.84,2.71,1
-0.00514,3.82,1
-0.048,3.38,1
2.14,2.7,1
1.55,3.9,1
2.06,2.94,1
2.64,2.05,1
0.508,4.15,1
1.29,4.95,1
1.66,2.45,1
1.78,4.6,1
4.2,0.349,1
2.14,3.1,1
5.18,0.721,1
4.82,0.646,1
1.61,4.53,1
1.89,2.78,1
0.901,3.67,1
1.41,4.67,1
0.802,4.1,1
1.93,0.528,1
3.42,2.61,1
1.43,1.24,1
0.63,4.57,1
3.07,1.66,1
3.64,1.43,1
2,1.8,1
4.3,1.28,1
-0.569,2.69,1
2.37,2.8,1
2.47,2.25,1
2.01,2.82,1
2.07,3.73,1
2.5,1.93,1
1.12,4.92,1
-0.949,5.39,1
1.98,2.55,1
0.354,4.4,1
2.68,3.96,1
1.33,2.75,1
2,3.54,1
-0.219,5.37,1
3.38,1.84,1
1.95,3.29,1
1.07,3.7,1
3.09,1.85,1
0.415,5.51,1
2.58,3.5,1
2.81,1.58,1
4.41,1.05,1
0.911,3.16,1
1.87,3.64,1
2.54,2.05,1
1.41,4.42,1
1.01,3.5,1
4.57,-0.447,1
2.39,2.11,1
2.29,3.88,1
2.65,3.57,1
0.648,5.1,1
1.43,2.95,1
4.59,0.106,1
1.44,3.53,1
2.37,2.95,1
3.11,2.46,1
1.54,3.05,1
1.58,1.88,1
1.92,3.25,1
5.07,1.03,1
3.15,1.16,1
1.18,2.06,1
3.3,1.5,1
1.14,3.71,1
2.37,3.34,1
1.77,3.55,1
3.22,2.08,1
-0.443,5.56,1
2.05,2.8,1
0.848,4.76,1
-0.52,4.98,1
3.26,1.61,1
-0.692,4.82,1
0.434,5.74,1
0.983,3.63,1
2.81,2.49,1
1.3,4.58,1
1.84,3.6,1
1.96,1.91,1
0.468,4.36,1
-0.0738,5.23,1
2.51,3.1,1
2.1,3.83,1
1.06,4.15,1
3.76,1.62,1
2.98,1.64,1
1.94,1.74,1
0.484,4.03,1
-0.37,3.45,1
1.85,2.87,1
0.0649,5.17,1
1.43,4.18,1
6.73,-0.251,1
3.81,0.923,1
3.46,1.31,1
2.6,3.28,1
1.66,3.16,1
3.44,3.33,1
3.4,1.53,1
1.53,2.65,1
0.909,5.12,1
3.54,1.58,1
4.01,1.93,1
5.14,-0.61,1
3.66,0.676,1
1.2,4.64,1
2.32,3.39,1
0.8,5.54,1
1.95,5.24,1
1.02,2.44,1
1.14,4.01,1
3.8,1.06,1
5.18,0.441,1
3.04,1.62,1
4.04,0.382,1
2.97,2.84,1
2.73,3.86,1
1.04,6.66,1
1.44,4.47,1
2.44,2.24,1
1.53,4.03,1
1.53,5.16,1
2.55,2.01,1
1.92,3.42,1
1.89,3.75,1
1.81,3.7,1
4.23,1.19,1
2.45,4.33,1
1.09,4,1
4.25,0.373,1
0.377,3.04,1
0.634,4.06,1
-1,3.84,1
-0.181,4.54,1
3.7,1.61,1
1.23,3.56,1
5.19,0.628,1
2.27,3.03,1
-0.163,2.72,1
-0.874,6.33,1
1.48,2.88,1
1.69,3.41,1
3.27,0.941,1
2.18,3.54,1
0.493,2.5,1
2.34,2.85,1
5.69,0.00447,1
1.98,2.58,1
3.71,1.73,1
4.39,1.47,1
3.51,1.68,1
2.27,2.4,1
1.12,2.07,1
-0.0159,4.84,1
1.49,2.58,1
3.93,2.19,1
1.39,4.31,1
0.383,6.03,1
2.01,3.62,1
2.76,1.8,1
3.53,2.31,1
0.931,4.06,1
0.298,4.1,1
-0.175,4.21,1
1.7,4.16,1
1.76,2.51,1
1.99,2.02,1
1.08,5.07,1
2.18,2.17,1
1.86,2.55,1
1,3.61,1
1.36,3.63,1
4.24,0.959,1
1.5,4.14,1
3.16,2.58,1
2.06,2,1
2.97,2,1
2.23,2.41,1
2.64,2.26,1
1.19,2.44,1
0.505,5.69,1
4.98,-0.252,1
1.84,3.18,1
1.38,5.05,1
2.79,1.84,1
0.237,4.49,1
2.09,1.76,1
2.95,2.28,1
3.87,1.31,1
2.73,1.86,1
2.02,4.01,1
4,1.48,1
5.6,0.0475,1
3.82,1.75,1
1.53,4.94,1
2.41,2.45,1
1.74,3.48,1
1.99,3.06,1
1.76,2.37,1
1.96,1.72,1
1.78,3.26,1
2.48,3.4,1
0.343,3.3,1
4.85,3.01,1
3.29,1.48,1
2.83,2.5,1
-0.924,5.4,1
1.83,3.52,1
2.13,-0.0762,1
0.4,3.03,1
0.879,2.32,1
1.62,2.52,1
2.83,1.74,1
2.83,1.16,1
-0.703,4.32,1
2.87,3.28,1
1.13,5.01,1
1.83,3.24,1
1.59,2.86,1
2.37,3.19,1
1.71,0.951,1
5.05,-0.251,1
4.72,1.69,1
-1.78,6.02,1
2.35,3.39,1
2.84,2.82,1
2.41,3.02,1
4.37,1.54,1
1.75,3.21,1
2.89,2.25,1
0.879,3.01,1
2.42,3.49,1
3.85,2.29,1
0.966,4.52,1
0.581,4.03,1
0.0862,5.66,1
2.64,3.28,1
1.82,3.4,1
0.474,3.11,1
0.54,5.7,1
2.52,2.31,1
1.29,2.67,1
3.84,2.36,1
2.64,2.87,1
3.83,2.49,1
4.07,0.497,1
1.1,4.74,1
3.55,2.69,1
2.19,3.06,1
1.54,3.34,1
3.94,1.71,1
2.34,3.07,1
-0.351,6.61,1
1.24,5.42,1
1.96,3.57,1
1.31,4.92,1
2.16,2.89,1
2.8,3.3,1
0.546,3.02,1
3.01,2.44,1
-0.471,5.79,1
1.15,4.09,1
3.65,2.47,1
1.07,3.72,1
3.31,3,1
2.84,3.63,1
3.32,2.39,1
0.986,4.06,1
3.07,3.04,1
1.99,2.93,1
3.58,2.84,1
2.08,2.35,1
2.04,3.15,1
2.89,-0.503,1
4.1,-0.184,1
0.765,2.65,1
0.875,2.77,1
2.57,3.77,1
0.739,3.43,1
0.259,4.98,1
0.311,4.27,1
0.768,3.66,1
2.44,3.23,1
0.0949,3.6,1
0.9,3.23,1
2.8,1.85,1
0.766,1.96,1
1.45,3.82,1
3.25,2.6,1
1.07,3.06,1
3.88,-0.727,1
3.7,1.75,1
0.62,4.56,1
0.856,4.92,1
4.49,2.45,1
1.79,2.43,1
0.783,3.08,1
1.09,1.86,1
2.58,3.05,1
1.71,2.51,1
2.03,2.46,1
1.55,3.85,1
2.87,1.21,1
3.35,1.4,1
0.288,2.14,1
0.0559,4.58,1
0.999,2.24,1
3.43,3.24,1
1.77,3.49,1
3.92,1.04,1
1.01,4.32,1
1.86,2.77,1
1.46,3.54,1
3.55,2.16,1
3.79,2.57,1
2.3,2.36,1
1.01,4.18,1
3.33,2.29,1
2.8,1.71,1
0.785,2.05,1
4.34,0.283,1
2.49,3.65,1
2.1,1.59,1
-0.549,6.13,1
0.67,4.31,1
3.32,3.06,1
2.47,3.06,1
2.07,3.09,1
1.37,3.05,1
1.78,2.81,1
2.14,3.37,1
2.03,3.73,1
1.64,4.36,1
